metric,value,unit,condition,note
vulnerable_window_end_thr0.1,207.0,day-of-year,"R0_peak=1.5, w=55, tau=15, k=0.5, g=6",
seasonal_min_establishment,0.0,probability,"R0_peak=1.5, w=55, tau=15, k=0.5, g=6",annual minimum of the establishment probability
seasonal_max_establishment,0.428975,probability,"R0_peak=2.5, w=55, tau=15, k=0.5, g=6",annual maximum of the within-season establishment probability
seasonal_optimal_introduction_day,178.0,day-of-year,"R0_peak=2.5, w=55, tau=15, k=0.5, g=6",day at which the establishment probability peaks
vulnerable_window_length_thr0.05,152.0,days,"R0_peak=2.5, w=55, tau=15, k=0.5, g=6",days with P >= 0.05; from day 87 to day 238
vulnerable_window_start_thr0.05,87.0,day-of-year,"R0_peak=2.5, w=55, tau=15, k=0.5, g=6",
vulnerable_window_end_thr0.05,238.0,day-of-year,"R0_peak=2.5, w=55, tau=15, k=0.5, g=6",
vulnerable_window_length_thr0.1,135.0,days,"R0_peak=2.5, w=55, tau=15, k=0.5, g=6",days with P >= 0.1; from day 98 to day 232
vulnerable_window_start_thr0.1,98.0,day-of-year,"R0_peak=2.5, w=55, tau=15, k=0.5, g=6",
vulnerable_window_end_thr0.1,232.0,day-of-year,"R0_peak=2.5, w=55, tau=15, k=0.5, g=6",
seasonal_min_establishment,0.0,probability,"R0_peak=2.5, w=55, tau=15, k=0.5, g=6",annual minimum of the establishment probability
seasonal_max_establishment,0.5726,probability,"R0_peak=4.0, w=55, tau=15, k=0.5, g=6",annual maximum of the within-season establishment probability
seasonal_optimal_introduction_day,183.0,day-of-year,"R0_peak=4.0, w=55, tau=15, k=0.5, g=6",day at which the establishment probability peaks
vulnerable_window_length_thr0.05,182.0,days,"R0_peak=4.0, w=55, tau=15, k=0.5, g=6",days with P >= 0.05; from day 72 to day 253
vulnerable_window_start_thr0.05,72.0,day-of-year,"R0_peak=4.0, w=55, tau=15, k=0.5, g=6",
vulnerable_window_end_thr0.05,253.0,day-of-year,"R0_peak=4.0, w=55, tau=15, k=0.5, g=6",
vulnerable_window_length_thr0.1,169.0,days,"R0_peak=4.0, w=55, tau=15, k=0.5, g=6",days with P >= 0.1; from day 81 to day 249
vulnerable_window_start_thr0.1,81.0,day-of-year,"R0_peak=4.0, w=55, tau=15, k=0.5, g=6",
vulnerable_window_end_thr0.1,249.0,day-of-year,"R0_peak=4.0, w=55, tau=15, k=0.5, g=6",
seasonal_min_establishment,2e-08,probability,"R0_peak=4.0, w=55, tau=15, k=0.5, g=6",annual minimum of the establishment probability
seasonal_max_establishment_by_k,0.135923,probability,"R0_peak=2.5, w=55, tau=15, k=0.1, g=6","annual maximum, dispersion sensitivity"
seasonal_max_establishment_by_k,0.428975,probability,"R0_peak=2.5, w=55, tau=15, k=0.5, g=6","annual maximum, dispersion sensitivity"
seasonal_max_establishment_by_k,0.709629,probability,"R0_peak=2.5, w=55, tau=15, k=2, g=6","annual maximum, dispersion sensitivity"
seasonal_max_establishment_by_k,0.883334,probability,"R0_peak=2.5, w=55, tau=15, k=Poisson, g=6","annual maximum, dispersion sensitivity"
seasonal_max_establishment_sensitivity,0.431681,probability,"R0_peak=2.5, w=40, tau=10, k=0.5, g=6",season width and generation-time sensitivity
seasonal_max_establishment_sensitivity,0.41077,probability,"R0_peak=2.5, w=40, tau=15, k=0.5, g=6",season width and generation-time sensitivity
seasonal_max_establishment_sensitivity,0.36734,probability,"R0_peak=2.5, w=40, tau=20, k=0.5, g=6",season width and generation-time sensitivity
seasonal_max_establishment_sensitivity,0.437704,probability,"R0_peak=2.5, w=55, tau=10, k=0.5, g=6",season width and generation-time sensitivity
seasonal_max_establishment_sensitivity,0.428975,probability,"R0_peak=2.5, w=55, tau=15, k=0.5, g=6",season width and generation-time sensitivity
seasonal_max_establishment_sensitivity,0.413394,probability,"R0_peak=2.5, w=55, tau=20, k=0.5, g=6",season width and generation-time sensitivity
seasonal_max_establishment_sensitivity,0.44005,probability,"R0_peak=2.5, w=70, tau=10, k=0.5, g=6",season width and generation-time sensitivity
seasonal_max_establishment_sensitivity,0.435177,probability,"R0_peak=2.5, w=70, tau=15, k=0.5, g=6",season width and generation-time sensitivity
seasonal_max_establishment_sensitivity,0.427263,probability,"R0_peak=2.5, w=70, tau=20, k=0.5, g=6",season width and generation-time sensitivity
periodic_steadystate_max_establishment,0.0,probability,"R0_peak=1.5, w=40, tau=15, k=0.5",1 - q(t) in the periodic steady state; 0 means the seasonal cycle is subcritical and persistence is impossible
seasonal_cycle_supercritical,0.0,0/1,"R0_peak=1.5, w=40, tau=15, k=0.5",1 iff the product of generation means around the seasonal cycle exceeds 1
periodic_steadystate_max_establishment,0.0,probability,"R0_peak=1.5, w=55, tau=15, k=0.5",1 - q(t) in the periodic steady state; 0 means the seasonal cycle is subcritical and persistence is impossible
seasonal_cycle_supercritical,0.0,0/1,"R0_peak=1.5, w=55, tau=15, k=0.5",1 iff the product of generation means around the seasonal cycle exceeds 1
periodic_steadystate_max_establishment,0.0,probability,"R0_peak=1.5, w=70, tau=15, k=0.5",1 - q(t) in the periodic steady state; 0 means the seasonal cycle is subcritical and persistence is impossible
seasonal_cycle_supercritical,0.0,0/1,"R0_peak=1.5, w=70, tau=15, k=0.5",1 iff the product of generation means around the seasonal cycle exceeds 1
periodic_steadystate_max_establishment,0.0,probability,"R0_peak=2.5, w=40, tau=15, k=0.5",1 - q(t) in the periodic steady state; 0 means the seasonal cycle is subcritical and persistence is impossible
seasonal_cycle_supercritical,0.0,0/1,"R0_peak=2.5, w=40, tau=15, k=0.5",1 iff the product of generation means around the seasonal cycle exceeds 1
periodic_steadystate_max_establishment,0.0,probability,"R0_peak=2.5, w=55, tau=15, k=0.5",1 - q(t) in the periodic steady state; 0 means the seasonal cycle is subcritical and persistence is impossible
seasonal_cycle_supercritical,0.0,0/1,"R0_peak=2.5, w=55, tau=15, k=0.5",1 iff the product of generation means around the seasonal cycle exceeds 1
periodic_steadystate_max_establishment,0.0,probability,"R0_peak=2.5, w=70, tau=15, k=0.5",1 - q(t) in the periodic steady state; 0 means the seasonal cycle is subcritical and persistence is impossible
seasonal_cycle_supercritical,0.0,0/1,"R0_peak=2.5, w=70, tau=15, k=0.5",1 iff the product of generation means around the seasonal cycle exceeds 1
periodic_steadystate_max_establishment,0.0,probability,"R0_peak=4.0, w=40, tau=15, k=0.5",1 - q(t) in the periodic steady state; 0 means the seasonal cycle is subcritical and persistence is impossible
seasonal_cycle_supercritical,0.0,0/1,"R0_peak=4.0, w=40, tau=15, k=0.5",1 iff the product of generation means around the seasonal cycle exceeds 1
periodic_steadystate_max_establishment,0.0,probability,"R0_peak=4.0, w=55, tau=15, k=0.5",1 - q(t) in the periodic steady state; 0 means the seasonal cycle is subcritical and persistence is impossible
seasonal_cycle_supercritical,0.0,0/1,"R0_peak=4.0, w=55, tau=15, k=0.5",1 iff the product of generation means around the seasonal cycle exceeds 1
periodic_steadystate_max_establishment,0.48175004,probability,"R0_peak=4.0, w=70, tau=15, k=0.5",1 - q(t) in the periodic steady state; 0 means the seasonal cycle is subcritical and persistence is impossible
seasonal_cycle_supercritical,1.0,0/1,"R0_peak=4.0, w=70, tau=15, k=0.5",1 iff the product of generation means around the seasonal cycle exceeds 1
critical_R0_peak_threshold,32.1367,R0,"w=40, tau=15, t_peak=190",minimum R0_peak for which the seasonal cycle is supercritical (periodic persistence possible)
critical_R0_peak_threshold,6.2675,R0,"w=55, tau=15, t_peak=190",minimum R0_peak for which the seasonal cycle is supercritical (periodic persistence possible)
critical_R0_peak_threshold,3.1051,R0,"w=70, tau=15, t_peak=190",minimum R0_peak for which the seasonal cycle is supercritical (periodic persistence possible)
annual_max_establishment_under_control,0.181558,probability,"R0_peak=1.5, w=55, tau=15, k=0.5, theta=0.1, g=6",annual maximum of P_est(t) when R0 is scaled by (1 - theta)
control_relative_reduction,0.191303,fraction,"R0_peak=1.5, w=55, tau=15, k=0.5, theta=0.1, g=6",relative drop of the annual maximum vs theta = 0
vulnerable_window_length_under_control,97.0,days,"R0_peak=1.5, w=55, tau=15, k=0.5, theta=0.1, g=6, threshold=0.05",
annual_max_establishment_under_control,0.09376,probability,"R0_peak=1.5, w=55, tau=15, k=0.5, theta=0.3, g=6",annual maximum of P_est(t) when R0 is scaled by (1 - theta)
control_relative_reduction,0.582376,fraction,"R0_peak=1.5, w=55, tau=15, k=0.5, theta=0.3, g=6",relative drop of the annual maximum vs theta = 0
vulnerable_window_length_under_control,63.0,days,"R0_peak=1.5, w=55, tau=15, k=0.5, theta=0.3, g=6, threshold=0.05",
annual_max_establishment_under_control,0.027062,probability,"R0_peak=1.5, w=55, tau=15, k=0.5, theta=0.5, g=6",annual maximum of P_est(t) when R0 is scaled by (1 - theta)
control_relative_reduction,0.879461,fraction,"R0_peak=1.5, w=55, tau=15, k=0.5, theta=0.5, g=6",relative drop of the annual maximum vs theta = 0
vulnerable_window_length_under_control,0.0,days,"R0_peak=1.5, w=55, tau=15, k=0.5, theta=0.5, g=6, threshold=0.05",
theta_required_for_target,0.417233,fraction of R0,"R0_peak=1.5, w=55, tau=15, k=0.5, g=6, target=0.05",theta s.t. annual max P_est = 0.05; brentq root
annual_max_establishment_under_control,0.390181,probability,"R0_peak=2.5, w=55, tau=15, k=0.5, theta=0.1, g=6",annual maximum of P_est(t) when R0 is scaled by (1 - theta)
control_relative_reduction,0.090436,fraction,"R0_peak=2.5, w=55, tau=15, k=0.5, theta=0.1, g=6",relative drop of the annual maximum vs theta = 0
vulnerable_window_length_under_control,144.0,days,"R0_peak=2.5, w=55, tau=15, k=0.5, theta=0.1, g=6, threshold=0.05",
annual_max_establishment_under_control,0.28918,probability,"R0_peak=2.5, w=55, tau=15, k=0.5, theta=0.3, g=6",annual maximum of P_est(t) when R0 is scaled by (1 - theta)
control_relative_reduction,0.325881,fraction,"R0_peak=2.5, w=55, tau=15, k=0.5, theta=0.3, g=6",relative drop of the annual maximum vs theta = 0
vulnerable_window_length_under_control,123.0,days,"R0_peak=2.5, w=55, tau=15, k=0.5, theta=0.3, g=6, threshold=0.05",
annual_max_establishment_under_control,0.151921,probability,"R0_peak=2.5, w=55, tau=15, k=0.5, theta=0.5, g=6",annual maximum of P_est(t) when R0 is scaled by (1 - theta)
control_relative_reduction,0.645852,fraction,"R0_peak=2.5, w=55, tau=15, k=0.5, theta=0.5, g=6",relative drop of the annual maximum vs theta = 0
vulnerable_window_length_under_control,89.0,days,"R0_peak=2.5, w=55, tau=15, k=0.5, theta=0.5, g=6, threshold=0.05",
theta_required_for_target,0.65034,fraction of R0,"R0_peak=2.5, w=55, tau=15, k=0.5, g=6, target=0.05",theta s.t. annual max P_est = 0.05; brentq root
annual_max_establishment_under_control,0.544375,probability,"R0_peak=4.0, w=55, tau=15, k=0.5, theta=0.1, g=6",annual maximum of P_est(t) when R0 is scaled by (1 - theta)
control_relative_reduction,0.049292,fraction,"R0_peak=4.0, w=55, tau=15, k=0.5, theta=0.1, g=6",relative drop of the annual maximum vs theta = 0
vulnerable_window_length_under_control,176.0,days,"R0_peak=4.0, w=55, tau=15, k=0.5, theta=0.1, g=6, threshold=0.05",
annual_max_establishment_under_control,0.46797,probability,"R0_peak=4.0, w=55, tau=15, k=0.5, theta=0.3, g=6",annual maximum of P_est(t) when R0 is scaled by (1 - theta)
control_relative_reduction,0.182727,fraction,"R0_peak=4.0, w=55, tau=15, k=0.5, theta=0.3, g=6",relative drop of the annual maximum vs theta = 0
vulnerable_window_length_under_control,160.0,days,"R0_peak=4.0, w=55, tau=15, k=0.5, theta=0.3, g=6, threshold=0.05",
annual_max_establishment_under_control,0.344089,probability,"R0_peak=4.0, w=55, tau=15, k=0.5, theta=0.5, g=6",annual maximum of P_est(t) when R0 is scaled by (1 - theta)
control_relative_reduction,0.399077,fraction,"R0_peak=4.0, w=55, tau=15, k=0.5, theta=0.5, g=6",relative drop of the annual maximum vs theta = 0
vulnerable_window_length_under_control,135.0,days,"R0_peak=4.0, w=55, tau=15, k=0.5, theta=0.5, g=6, threshold=0.05",
theta_required_for_target,0.781462,fraction of R0,"R0_peak=4.0, w=55, tau=15, k=0.5, g=6, target=0.05",theta s.t. annual max P_est = 0.05; brentq root
